Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
6.69e-06,14488.9,14306.4
6.7e-06,14485.6,14303.1
6.71e-06,14482.2,14299.9
6.72e-06,14478.9,14296.6
6.73e-06,14475.6,14293.4
6.74e-06,14472.3,14290.1
6.75e-06,14468.9,14286.9
6.76e-06,14465.6,14283.7
6.77e-06,14462.3,14280.5
6.78e-06,14459.0,14277.2
6.79e-06,14455.8,14274.0
6.8e-06,14452.5,14270.8
6.81e-06,14449.2,14267.6
6.82e-06,14445.9,14264.5
6.83e-06,14442.7,14261.3
6.84e-06,14439.4,14258.1
6.85e-06,14436.2,14254.9
6.86e-06,14432.9,14251.8
6.87e-06,14429.7,14248.6
6.88e-06,14426.5,14245.5
6.89e-06,14423.2,14242.3
6.9e-06,14420.0,14239.2
6.91e-06,14416.8,14236.1
6.92e-06,14413.6,14232.9
6.93e-06,14410.4,14229.8
6.94e-06,14407.2,14226.7
6.95e-06,14404.0,14223.6
6.96e-06,14400.8,14220.5
6.97e-06,14397.7,14217.4
6.98e-06,14394.5,14214.3
6.99e-06,14391.3,14211.2
7e-06,14388.2,14208.2
7.01e-06,14385.0,14205.1
7.02e-06,14381.9,14202.0
7.03e-06,14378.7,14199.0
7.04e-06,14375.6,14195.9
7.05e-06,14372.5,14192.9
7.06e-06,14369.4,14189.8
7.07e-06,14366.2,14186.8
7.08e-06,14363.1,14183.8
7.09e-06,14360.0,14180.7
7.1e-06,14356.9,14177.7
7.11e-06,14353.8,14174.7
7.12e-06,14350.7,14171.7
7.13e-06,14347.7,14168.7
7.14e-06,14344.6,14165.7
7.15e-06,14341.5,14162.7
7.16e-06,14338.4,14159.7
7.17e-06,14335.4,14156.7
7.18e-06,14332.3,14153.8
7.19e-06,14329.3,14150.8
7.2e-06,14326.2,14147.8
7.21e-06,14323.2,14144.9
7.22e-06,14320.2,14141.9
7.23e-06,14317.1,14139.0
7.24e-06,14314.1,14136.0
7.25e-06,14311.1,14133.1
7.26e-06,14308.1,14130.2
7.27e-06,14305.1,14127.2
7.28e-06,14302.1,14124.3
7.29e-06,14299.1,14121.4
7.3e-06,14296.1,14118.5
7.31e-06,14293.1,14115.6
7.32e-06,14290.1,14112.7
7.33e-06,14287.2,14109.8
7.34e-06,14284.2,14106.9
7.35e-06,14281.2,14104.0
7.36e-06,14278.3,14101.1
7.37e-06,14275.3,14098.3
7.38e-06,14272.4,14095.4
7.39e-06,14269.4,14092.5
7.4e-06,14266.5,14089.7
7.41e-06,14263.6,14086.8
7.42e-06,14260.6,14084.0
7.43e-06,14257.7,14081.1
